sample,grain_number,AFT_age,AFT_age_1sigma,AFT_age_stderr_min,AFT_age_stderr_plus,Dpar
E30,,7.98399245735134,5.7,5.7,5.7,1.49
E30,,8.75335497079807,4.03,4.03,4.03,1.39
E30,,12.469378524806,12.56,12.56,12.56,1.14
E30,,7.94265009502376,3.65,3.65,3.65,1.31
E30,,9.1934521878419,2.39,2.39,2.39,1.57
E30,,4.82907778631179,1.42,1.42,1.42,1.36
E30,,20.2960971576332,6.71,6.71,6.71,1.68
E30,,9.4504120295243,4.32,4.32,4.32,1.34
E30,,13.3605427771854,3.58,3.58,3.58,1.44
E30,,3.50668106485709,2.51,2.51,2.51,1.36
E30,,2.06574479814035,2.08,2.08,2.08,1.46
E30,,25.9943147853497,18.56,18.56,18.56,1.34
E35,,7.24219298079053,5.15,5.15,5.15,1.1
E35,,4.09390030505962,4.1,4.1,4.1,1.03
E35,,1.91914416650554,1.92,1.92,1.92,1.11
E35,,22.1787844637523,22.22,22.22,22.22,1.52
E35,,5.71619269662241,5.71,5.71,5.71,1.05
E35,,21.4079284152911,63.8,63.8,63.8,1.25
E35,,20.6902756775276,12.02,12.02,12.02,1.22
E35,,5.23489726709449,15.64,15.64,15.64,1.06
E35,,4.02438458744196,2.34,2.34,2.34,1.07
E35,,16.4880559272353,6.29,6.29,6.29,1.36
E35,,20.3109112341676,6.26,6.26,6.26,1.65
E35,,17.7025932880715,7.97,7.97,7.97,1
E35,,9.20869279818905,3.52,3.52,3.52,1.1
E35,,14.6306843993483,10.42,10.42,10.42,1.47
E35,,8.46714663221001,6.04,6.04,6.04,1.18
E35,,23.3841180882571,13.55,13.55,13.55,1.49
E35,,6.1813929608389,1.51,1.51,1.51,1.37
E35,,1.42043848075287,4.24,4.24,4.24,1.27
E35,,13.3964871977726,6.73,6.73,6.73,1.33
E40,,17.5934078427855,12.49,12.49,12.49,1.36
E40,,11.0381958703948,6.38,6.38,6.38,1.18
E40,,19.0603394480553,11.12,11.12,11.12,1.18
E40,,9.0845901475395,6.43,6.43,6.43,1.31
E40,,19.1930363512856,7.36,7.36,7.36,1.52
E40,,11.9616331936752,4.04,4.04,4.04,1.23
E40,,12.1867983596166,7.07,7.07,7.07,1.29
E40,,4.42687970775793,2.23,2.23,2.23,1.24
E40,,10.2241758483475,10.26,10.26,10.26,1.11
E40,,15.1304764131565,15.16,15.16,15.16,1.15
E40,,4.46517519449059,13.32,13.32,13.32,1.37
E40,,49.884004949302,147.01,147.01,147.01,1.02
E40,,4.75834714689454,14.29,14.29,14.29,1.23
E40,,14.732037481408,8.58,8.58,8.58,1.33
E40,,3.29810769394574,9.86,9.86,9.86,1.3
E40,,3.10715374675829,9.3,9.3,9.3,1.11
E40,,1.87067428703413,1.09,1.09,1.09,1.12
E40,,4.93042267907013,14.77,14.77,14.77,1.25
E40,,9.77751666738934,6.94,6.94,6.94,1.02
E45,,14.5546853946683,2.78,2.78,2.78,1.43
E45,,35.9624785484395,12.93,12.93,12.93,1.31
E45,,4.32505291026459,4.33,4.33,4.33,1.13
E45,,6.88776194189342,2.86,2.86,2.86,1.24
E45,,11.0167778500981,2.78,2.78,2.78,1.27
E45,,9.63933770517352,4.37,4.37,4.37,1.34
E45,,16.8677504481538,5.47,5.47,5.47,1.45
E45,,12.186846416713,5.54,5.54,5.54,1.36
E45,,17.1641031999579,6.63,6.63,6.63,1.33
E45,,8.94675062703854,4.55,4.55,4.55,1.22
E45,,7.30632162703102,2.38,2.38,2.38,1.32
E45,,6.25251979320474,2.41,2.41,2.41,1.03
E45,,11.7728115071277,35.18,35.18,35.18,1.39
E45,,29.4322915699027,10.61,10.61,10.61,1.66
E45,,66.073589243251,21.43,21.43,21.43,1.38
E45,,5.3283437152058,5.34,5.34,5.34,1.17
E45,,21.7110886226282,5.1,5.1,5.1,1.5
E45,,11.9082894002898,35.68,35.68,35.68,1.21
E45,,2.80407754919147,1.64,1.64,1.64,1.6
E45,,7.42588930621494,5.28,5.28,5.28,1.03
E45,,5.61829811156732,2.34,2.34,2.34,1.31
E45,,7.28806614437349,1.41,1.41,1.41,1.46
E45,,9.65101300906602,3.71,3.71,3.71,1.15
E45,,34.0661081826793,19.82,19.82,19.82,1.33
E45,,8.84367313054436,6.28,6.28,6.28,1.42
E45,,7.07590883111694,7.11,7.11,7.11,1.22
E45,,10.1200903771702,5.89,5.89,5.89,1.37
E50,,2.81442326359719,1.99,1.99,1.99,1.09
E50,,6.89173546429645,6.9,6.9,6.9,1.25
E50,,15.2366529360874,6.87,6.87,6.87,1.45
E50,,4.10466571008932,2.91,2.91,2.91,1.2
E50,,3.02988680641209,2.15,2.15,2.15,1.25
E50,,1.21857248494354,0.71,0.71,0.71,1.18
E50,,2.44097136425792,7.36,7.36,7.36,1.2
E50,,2.61170432034254,1.52,1.52,1.52,1.14
E50,,6.53548197659008,2.69,2.69,2.69,1.1
E50,,12.5575181015191,5.19,5.19,5.19,1.25
E50,,13.9068026498416,5.33,5.33,5.33,1.33
E50,,14.0622720189587,7.1,7.1,7.1,1.02
E50,,11.0300838403233,5.55,5.55,5.55,1.38
E50,,10.5880479244588,3.79,3.79,3.79,1
E50,,1.70639075606849,5.11,5.11,5.11,1.3
E50,,14.1929399539468,7.15,7.15,7.15,1.06
E50,,4.20640108563588,4.2,4.2,4.2,0.98
E50,,18.1256746367522,5.83,5.83,5.83,1.34
E50,,32.8604979475422,10.12,10.12,10.12,1.22
E50,,6.59171452212156,19.76,19.76,19.76,1.2
E50,,4.30254987686713,2.5,2.5,2.5,1.03
E50,,8.02613847070562,4.02,4.02,4.02,1.27
E50,,4.01827862194505,2.85,2.85,2.85,1.13
E55,,16.0902787713555,4.27,4.27,4.27,1.35
E55,,40.779724983238,11.25,11.25,11.25,1.11
E55,,11.9134198312434,3.66,3.66,3.66,1.18
E55,,8.42877039732301,5.99,5.99,5.99,1.35
E55,,57.4013357102962,23.69,23.69,23.69,1.36
E55,,32.5360192147185,7.36,7.36,7.36,1.24
E55,,7.03676957001075,4.08,4.08,4.08,1.4
E55,,3.49148571203854,10.46,10.46,10.46,1.28
E55,,4.62183673823273,13.85,13.85,13.85,1.2
E55,,13.9240529713127,6.32,6.32,6.32,1.19
E55,,9.70557468575274,6.89,6.89,6.89,1.29
E55,,12.8592830428607,9.14,9.14,9.14,1.37
E55,,23.6859009940063,6.74,6.74,6.74,1.18
E55,,2.12863603587678,2.13,2.13,2.13,1.37
E55,,57.0231686451335,28.7,28.7,28.7,1.45
E55,,19.4277015452456,2.59,2.59,2.59,1.34
E55,,28.6029221891836,9.2,9.2,9.2,1.15
E55,,58.1464074138191,12.06,12.06,12.06,1.16
