well,depth,VR,VR_unc_1sigma,N_observations
RLO-01,1301,1.1000000238,,
RLO-01,1478,1.4700000286,,
SMG-01x,1670,0.5899999738,,
SMG-01x,2143.1000976563,0.9499999881,,
SMG-01x,2164,0.7900000215,,
SMG-01x,2252,1.0199999809,,
SMG-01x,2470,1.2300000191,,
SMG-01x,2498,1.2799999714,,
SMG-01x,2516,0.8299999833,,
SMG-01x,2600,1.0499999523,,
SMG-01x,2618,1.4500000477,,
SMG-01x,2716,1.1100000143,,
SMG-01x,2996,0.8799999952,,
SMG-01,1550,0.2800000012,,
SMG-01,1585,0.3400000036,,
SMG-01,1670,0.3400000036,,
SMG-01,1685,0.3100000024,,
SMG-01,1855,0.3600000143,,
SMG-01,1900,0.3199999928,,
SMG-01,1945,0.3700000048,,
SMG-01,2020,0.3300000131,,
SMG-01,2024,0.4099999964,,
SMG-01,2028,0.349999994,,
SMG-01,2036,0.3700000048,,
SMG-01,2142,0.3700000048,,
SMG-01,2164,0.3600000143,,
SMG-01,2252,0.4499999881,,
SMG-01,2270,0.5600000024,,
SMG-01,2330,0.4799999893,,
SMG-01,2370,0.5099999905,,
SMG-01,2470,0.5799999833,,
SMG-01,2498,0.5600000024,,
SMG-01,2516,0.349999994,,
SMG-01,2600,0.3799999952,,
SMG-01,2618,0.5600000024,,
SMG-01xx,2700,1.8099999428,,
SMG-01,2716,0.5099999905,,
SMG-01,2806,0.7599999905,,
SMG-01,2996,0.4499999881,,
SPC-01,988.7299804688,0.4699999988,,
SPC-01,1089,0.8500000238,,
SPC-01,1183,0.4099999964,,
SPC-01,1274,0.3199999928,,
SPC-01,1361,0.4099999964,,
SPC-01,1446,0.4300000072,,
SPC-01,1530,0.400000006,,
SPC-01,1613,0.4799999893,,
SPC-01,1697,0.400000006,,
SPC-01,1781,0.4699999988,,
SPC-01,1865,0.4499999881,,
SPC-01,1951,0.4499999881,,
SPC-01,2038,0.4799999893,,
SPC-01,2055,0.5600000024,,
SPC-01,2064,0.4900000095,,
SPC-01,2126,0.5199999809,,
SPC-01,2161,0.400000006,,
SPC-01,2170,0.5799999833,,
SPC-01,2178,0.5799999833,,
SPC-01,2186,0.6299999952,,
SPC-01,2196,0.5699999928,,
SPC-01,2205,0.5799999833,,
SPC-01,2769,1.2599999905,,
SPC-01,2790,0.9700000286,,
SPC-01,2852,0.8600000143,,
SPG-01,2465,0.5,,
SPG-01,2478,0.5199999809,,
SPG-01,2492,0.4900000095,,
SPG-01,2531,0.7400000095,,
SPG-01,2614,0.6200000048,,
SPG-01,2628,0.6200000048,,
SPG-01,2677,0.5199999809,,
SPG-01,2692,0.5600000024,,
WAA-01,830,0.3300000131,,
WAA-01,930,0.4499999881,,
WAA-01,1050,0.3600000143,,
WAA-01,1150,0.3700000048,,
WAA-01,1250,0.3799999952,,
WAA-01,1350,0.4099999964,,
WAA-01,1450,0.3799999952,,
