well,depth_top,depth_bottom,strat_unit
BKZ-01,2257.3576660156,2275.0930175781,RNROY
BKZ-01,2275.0930175781,2343.9760742188,RNROF
BKZ-01,2343.9760742188,2400.0502929688,RNROL
BKZ-01,2400.0502929688,2406.9243164063,RNSOC
BKZ-01,2406.9243164063,2418.7084960938,RNSOB
BKZ-01,2418.7084960938,2449.1564941406,RBMH
BKZ-01,2449.1564941406,2462.9157714844,RBMDC
BKZ-01,2462.9157714844,2511.1342773438,RBMDL
BKZ-01,2511.1342773438,2619.4267578125,RBMVU
BKZ-01,2619.4267578125,2666.7199707031,RBMVL
BKZ-01,2666.7199707031,2690.3200683594,RBSHR
BRAK-01,0,255.9900054932,NUMS
BRAK-01,255.9900054932,530.9899902344,NUOT
BRAK-01,530.9899902344,696.9899902344,NUBA
BRAK-01,696.9899902344,751.9899902344,NMRFC
BRAK-01,751.9899902344,764.9899902344,NMRFV
BRAK-01,764.9899902344,804.9899902344,NLFFY
BRAK-01,804.9899902344,817.4900512695,NLFFD
BRAK-01,817.4900512695,851.9891967773,NLLF
BRAK-01,851.9891967773,1231.4012451172,SLDNA
BRAK-01,1231.4012451172,1285.2199707031,ATBRU
BRAK-01,1285.2199707031,1315.5159912109,ATBR3
BRAK-01,1315.5159912109,1331.5379638672,ATBRM
BRAK-01,1331.5379638672,1368.1220703125,ATBR2
BRAK-01,1368.1220703125,1387.5959472656,ATBRL
BRAK-01,1387.5959472656,1475.6563720703,ATBR1
BRAK-01,1475.6563720703,1715.7390136719,ATWDU
BRAK-01,1715.7390136719,1761.8878173828,ATWDM
BRAK-01x,1814,1814,FLT_N
BRAK-01,1761.8878173828,1787.333984375,ATPO
BRAK-01,1787.333984375,2079.5261230469,ATAL
BRAK-01x,1982,1982,FLT_N
BRAK-01x,1982,2161,ATAL
BRAK-01,2079.5261230469,2117.1357421875,ATRT
BRAK-01,2117.1357421875,2127.2355957031,RNKPU
BRAK-01,2127.2355957031,2147.455078125,RNKPD
BRAK-01,2147.455078125,2156.6479492188,RNKPR
BRAK-01,2156.6479492188,2170.5007324219,RNMUA
BRAK-01,2170.5007324219,2178.8312988281,RNMUE
BRAK-01,2178.8312988281,2219.6401367188,RNMUL
BRAK-01,2219.6401367188,2249.6330566406,RNROY
BRAK-01,2249.6330566406,2293.6936035156,RNROF
BRAK-01,2293.6936035156,2326.0612792969,RNROL
BRAK-01,2326.0612792969,2340.7495117188,RNSOC
BRAK-01,2340.7495117188,2343.5024414063,RNSOB
BRAK-01,2343.5024414063,2377.2294921875,RBMDC
BRAK-01,2377.2294921875,2384.5087890625,RBMDL
BRAK-01,2384.5087890625,2449.8278808594,RBMVU
BRAK-01,2449.8278808594,2516.4934082031,RBMVL
BRAK-01,2516.4934082031,2563.3200683594,RBSHR
BRK-01-S1,-0.1599121094,389.8400878906,N
BRK-01-S1,389.8400878906,445.8400878906,CK
BRK-01-S1,445.8400878906,653.8400878906,KNGLU
BRK-01-S1,653.8400878906,727.8400878906,KNGLM
BRK-01-S1,727.8400878906,777.8400878906,KNGLG
BRK-01-S1,777.8400878906,983.8400878906,KNGLL
BRK-01-S1,983.8400878906,1086.8400878906,KNNSL
BRK-01-S1,1086.8400878906,1296.8400878906,KNNC
BRK-01-S1,1296.8400878906,1397.8400878906,KNNSB
BRK-01-S1,1397.8400878906,1509.8400878906,KNNSC
BRK-01-S1,1509.8400878906,1556.8400878906,KNNSR
BRK-01-S1,1556.8400878906,1646.8400878906,SLDNR
BRK-01-S1,1646.8400878906,2425.6201171875,SLDNA
BRK-01-S1,2425.6201171875,2508.6201171875,ATBR1
BRK-01-S1,2508.6201171875,2730.6201171875,ATWDU
BRK-01-S1,2730.6201171875,2748.6201171875,ATWDM
BRK-01-S1,2748.6201171875,2951.6201171875,ATWDL
BRK-01-S1,2951.6201171875,2969.6201171875,XXE
BRK-01-S1,2969.6201171875,2987.6201171875,ATPO
BRK-04,0,85,NUCT
BRK-04,85,264.8210449219,NUMS
BRK-04,264.8210449219,428.3715820313,NUOT
BRK-04,428.3715820313,445.7925109863,NMRFC
BRK-04,445.7925109863,458.9175109863,NLLFC
BRK-04,458.9175109863,482.2266845703,CKGR
BRK-04,482.2266845703,506.2739868164,CKTXM
BRK-04,506.2739868164,571.7117919922,KNGLU
BRK-04,571.7117919922,656.413269043,KNGLM
BRK-04,656.413269043,707.3303222656,KNGLG
BRK-04,707.3303222656,914.6699829102,KNGLL
BRK-04,914.6699829102,1019.032043457,KNNSL
BRK-04,1019.032043457,1234.4599609375,KNNC
BRK-04,1234.4599609375,1332.9521484375,KNNSB
BRK-04,1332.9521484375,1451.7902832031,KNNSC
BRK-04,1451.7902832031,1500.3020019531,KNNSR
BRK-04,1500.3020019531,1587.1199951172,SLDN
BRT-01,0,411.4948120117,NUBA
BRT-01,411.4948120117,496.2959899902,NMRFC
BRT-01,496.2959899902,522.7504272461,NMRFV
BRT-01,522.7504272461,554.4859619141,NLFFB
BRT-01,554.4859619141,629.1519775391,NLFFS
BRT-01,629.1519775391,889.7731933594,NLFFY
BRT-01,889.7731933594,897.9812011719,NLFFD
BRT-01,897.9812011719,948.049987793,NLLFC
BRT-01,948.049987793,985.8300170898,CKHM
BRT-01,985.8300170898,1441.5764160156,CKGR
BRT-01,1441.5764160156,1453.0579833984,CKTXG
BRT-01,1453.0579833984,1480.4792480469,KNGLU
BRT-01,1480.4792480469,1504.3887939453,KNGLM
BRT-01,1504.3887939453,1571.6147460938,KNGLG
