well,LAT_PALEO,EAR_EOC_YP,EAR_EOC_MY,EAR_EOC_LY,MID_EOC,LAT_EOC,EAR_OLIG,LAT_OLIG,EAR_MIOC,MID_MIOC,EAR_PLIOC,MID_QUART
Well69,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well70,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well71,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well72,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well73,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well74,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well75,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well76,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well77,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well78,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well79,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well80,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well81,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well82,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well83,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well84,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well85,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well86,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well87,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well88,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well89,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well90,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well91,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well92,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well93,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well94,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well95,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well96,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well97,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well98,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well99,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well100,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well101,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well102,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well103,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well104,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well105,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well106,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well107,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well108,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well109,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well110,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well111,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well112,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well113,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well114,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well115,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well116,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well117,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well118,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well119,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well120,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well121,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well122,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well123,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well124,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well125,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well126,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well127,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well128,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well129,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
