timestep,time_bp,z_node_0,T_node_0,z_node_1,T_node_1,z_node_2,T_node_2,z_node_3,T_node_3,z_node_4,T_node_4,z_node_5,T_node_5,z_node_6,T_node_6,z_node_7,T_node_7,z_node_8,T_node_8,z_node_9,T_node_9,z_node_10,T_node_10,z_node_11,T_node_11,z_node_12,T_node_12,z_node_13,T_node_13,z_node_14,T_node_14,z_node_15,T_node_15,z_node_16,T_node_16,z_node_17,T_node_17,z_node_18,T_node_18,z_node_19,T_node_19,z_node_20,T_node_20,z_node_21,T_node_21,z_node_22,T_node_22,z_node_23,T_node_23,z_node_24,T_node_24,z_node_25,T_node_25,z_node_26,T_node_26,z_node_27,T_node_27,z_node_28,T_node_28,z_node_29,T_node_29,z_node_30,T_node_30,z_node_31,T_node_31,z_node_32,T_node_32,z_node_33,T_node_33,z_node_34,T_node_34,z_node_35,T_node_35,z_node_36,T_node_36,z_node_37,T_node_37,z_node_38,T_node_38,z_node_39,T_node_39,z_node_40,T_node_40,z_node_41,T_node_41,z_node_42,T_node_42,z_node_43,T_node_43,z_node_44,T_node_44,z_node_45,T_node_45,z_node_46,T_node_46,z_node_47,T_node_47,z_node_48,T_node_48
14,27229999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.891999999999987,41.93248067763478,16.595752637117613,83.86496135526956,18.299720855938737,158.93669360347852,21.206095216817747,234.0084258516875,24.11573326031732,305.2759429155608,26.726653397608224,376.5434599794341,29.33954851910636
15,27179999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.872000000000053,50.31897681316174,16.90911020136433,100.63795362632348,18.94651226194503,175.17570453284918,21.813420573241533,249.71345543937488,24.683451987749155,320.5717553859945,27.26474852907861,391.43005533261413,29.84793547881728
16,27129999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.85200000000006,58.70547294868869,17.220075036839074,117.41094589737737,19.58852242303887,191.41471546221982,22.416475026259118,265.4184850270623,25.24741480983157,335.8675678564282,27.799419573736277,406.3166506857941,30.353232670881866
17,27079999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.831999999999962,67.09196908421565,17.528676796292853,134.1839381684313,20.225807891127374,207.65372639159045,23.015305250893917,281.12351461474964,25.807658389145423,351.1633803268619,28.330697638061917,421.20324603897416,30.85546558331721
18,27029999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.811999999999928,75.4784652197426,17.834944638175305,150.9569304394852,20.858424313498315,223.89273732096115,23.60995727286139,296.82854420243706,26.364218998362947,366.4591927972956,28.858613562621812,436.0898413921542,31.35465956375225
19,26979999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.792000000000028,6.65484959643695,15.066348071897895,13.3096991928739,15.340702744825002,90.04424231015128,18.393622272529115,166.77878542742866,21.450339176837446,239.2842991245183,24.17059677606381,311.78981282160794,26.893153409521595,381.0812785196361,29.36305762437688,450.37274421766426,31.834352564330594
20,26929999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.77199999999999,14.973411591983137,15.387047817723463,29.946823183966274,16.002127335014645,106.15483963928037,19.014058471277977,182.36285609459446,22.029629939000024,254.46399864662206,24.719299147554672,326.56514119864966,27.411172701787773,395.53493255495323,29.857344217653303,464.50472391125675,32.30484514165191
21,26879999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.752000000000075,23.291973587529327,15.705288869862015,46.583947175058654,16.658650354039978,122.26543696840947,19.630119814393154,197.9469267617603,22.605078475039342,269.64369816872585,25.264497507449438,341.3404695756914,27.92603067520991,409.9885865902703,30.348700905550576,478.63670360484923,32.772642835810515
22,26829999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.731999999999932,31.610535583075514,16.021102631625283,63.22107116615103,17.310331586787985,138.37603429753855,20.241867347059973,213.5309974289261,23.176746093841736,284.8233976908296,25.806255723930416,356.1157979527331,28.437791914671248,424.4422406255874,30.837192931959304,492.7686832984417,33.237809489735554
23,26779999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.71200000000009,39.9290975786217,16.334519032207485,79.8581951572434,17.957227961275773,154.48663162666767,20.849347851832928,229.11506809609193,23.744669274457816,300.00309721293337,26.344604657370077,370.8911263297748,28.946481567636607,438.8958946609045,31.32284208067946,506.9006629920342,33.70036345825158
