well,sample_id,depth_top,depth_bottom,depth,aft_age,aft_age_min_95ci,aft_age_plus_95ci,Dpar
HSW-01,HSW01-4,2430,2431,2430.5,7.0091705322,-6.0862083435,46.0550689697,
HSW-01,HSW01-4,2430,2431,2430.5,61.7132301331,-24.5466785431,40.6303863525,
HSW-01,HSW01-4,2430,2431,2430.5,7.1800308228,-6.2351002693,47.2040214539,
HSW-01,HSW01-4,2430,2431,2430.5,68.2691879272,-25.5872497559,40.7972602844,
HSW-01,HSW01-4,2430,2431,2430.5,21.004693985,-14.685585022,48.6309967041,
HSW-01,HSW01-4,2430,2431,2430.5,0,0,288.0153808594,
HSW-01,HSW01-4,2430,2431,2430.5,56.7954216003,-16.2482376099,22.7192668915,
HSW-01,HSW01-4,2430,2431,2430.5,12.2610521317,-7.3823418617,18.526473999,
HSW-01,HSW01-4,2430,2431,2430.5,63.5960769653,-24.0968532562,38.6812057495,
HSW-01,HSW01-4,2430,2431,2430.5,99.4353866577,-34.1620979309,51.8329696655,
HSW-01,HSW01-4,2430,2431,2430.5,23.0602989197,-14.9538660049,42.3994407654,
HSW-01,HSW01-4,2430,2431,2430.5,135.3230438232,-37.4815864563,51.633441925,
HSW-01,HSW01-4,2430,2431,2430.5,0,0,12.6110258102,
HSW-01,HSW01-4,2430,2431,2430.5,95.8561019897,-30.6051235199,44.8042831421,
HSW-01,HSW01-5,2711,2728,2719.5,28.3281898499,-19.906747818,66.617401123,
HSW-01,HSW01-5,2711,2728,2719.5,89.328453064,-31.4134616852,48.2714385986,
HSW-01,HSW01-5,2711,2728,2719.5,16.9363365173,-9.2263011932,20.2352771759,
HSW-01,HSW01-5,2711,2728,2719.5,0,0,30.2123165131,
KDK-01,KDK01-1,420,440,430,883.01171875,-256.8302307129,352.5193786621,
KDK-01,KDK01-1,420,440,430,352.9240722656,-167.2812957764,310.458770752,
KDK-01,KDK01-1,420,440,430,413.9625854492,-126.513458252,179.6869659424,
KDK-01,KDK01-1,420,440,430,426.1012268066,-224.362487793,457.3641357422,
KDK-01,KDK01-1,420,440,430,401.8010253906,-263.6162109375,724.4169311523,
KDK-01,KDK01-1,420,440,430,153.6246032715,-140.2619781494,1439.3005371094,
KDK-01,KDK01-1,420,440,430,450.3102111816,-375.9511413574,1950.3598632813,
KDK-01,KDK01-1,420,440,430,405.1582336426,-158.1953430176,254.4741668701,
KDK-01,KDK01-1,420,440,430,354.8108215332,-114.673248291,167.2587738037,
KDK-01,KDK01-1,420,440,430,152.4476776123,-42.7460250854,59.131111145,
KDK-01,KDK01-1,420,440,430,276.6505737305,-160.861114502,373.3510742188,
KDK-01,KDK01-1,420,440,430,476.8846130371,-149.2756500244,213.7420043945,
KDK-01,KDK01-1,420,440,430,454.2274475098,-158.9970550537,240.1328735352,
KDK-01,KDK01-1,420,440,430,204.0299987793,-113.9843826294,253.2444763184,
KDK-01,KDK01-1,420,440,430,385.5498352051,-179.936416626,328.9150085449,
KDK-01,KDK01-1,420,440,430,215.8330383301,-114.5236663818,239.4936981201,
KDK-01,KDK01-1,420,440,430,283.8678588867,-117.1664352417,196.5052337646,
KDK-01,KDK01-1,420,440,430,436.264465332,-164.0925292969,257.8367919922,
KDK-01,KDK01-1,420,440,430,498.4571533203,-237.5769348145,438.7658691406,
KDK-01,KDK01-1,420,440,430,470.9886474609,-140.6901092529,197.5847625732,
KDK-01,KDK01-2,755,774,764.5,122.0598831177,-111.4704284668,1171.6865234375,
