strat_unit,well,depth_top,depth_bottom,deposition_code,present-day_thickness,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production,matrix_thickness,initial_thickness,eroded_thickness,maximum_depth_top,maximum_depth_bottom,maximum_depth_top_temp,maximum_depth_bottom_temp,maximum_burial_thickness_temp
NMVFV_s_1,NDW-01,1132.3333333333335,1203.6666666666667,1.0,71.33333333333333,26.266666666666666,24.833333333333332,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.393,0.0005465,3.1999999999999997,900.0,1.2499999999999999e-06,56.52530660345443,91.66054232235282,0.0,1132.3333333333335,1203.6666666666667,,,
NMVFV,NDW-01,1203.6666666666667,1275.0,1.0,71.33333333333333,27.7,26.266666666666666,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.393,0.0005465,3.1999999999999997,900.0,1.2499999999999999e-06,57.09147050962082,92.56453304413843,0.0,1203.6666666666667,1275.0,,,
~NMRFT-NMVFV,,,,0.0,0.0,29.5,27.7,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
NMRFT,NDW-01,1275.0,1297.0,1.0,22.0,30.5,29.5,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.393,0.0005465,3.1999999999999997,900.0,1.2499999999999999e-06,17.71849831404724,29.041843973970387,0.0,1275.0,1297.0,,,
NMRFC,NDW-01,1297.0,1373.0,1.0,76.0,34.8,30.5,0.0,0.15,0.1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.5445000000000001,0.00077375,2.75,900.0,1.2500000000000003e-06,61.2678256392132,127.25592703054164,0.0,1297.0,1373.0,,,
NMRFV,NDW-01,1373.0,1397.0,1.0,24.0,35.4,34.8,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.367,0.0004455,3.4000000000000004,900.0,1.25e-06,19.247609936783498,30.289014869852018,0.0,1373.0,1397.0,,,
~NLLFC-NMRFV,,,,0.0,0.0,57.8,35.4,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
NLLFC,NDW-01,1397.0,1458.0,1.0,61.0,58.0,57.8,0.0,0.1,0.1,0.6,0.0,0.0,0.2,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.536,0.0007770000000000001,2.8400000000000003,900.0,1.2500000000000003e-06,50.214756603325824,103.53584770022115,0.0,1397.0,1458.0,,,
NLLFG,NDW-01,1458.0,1483.0,1.0,25.0,58.4,58.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.526,0.000823,2.9899999999999998,900.0,1.2499999999999999e-06,21.079505094103293,43.61252073810052,0.0,1458.0,1483.0,,,
NLLFS,NDW-01,1483.0,1526.0,1.0,43.0,58.8,58.4,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.393,0.0005465,3.1999999999999997,900.0,1.2499999999999999e-06,35.57339956760615,58.016036580335395,0.0,1483.0,1526.0,,,
