well,depth,VR,VR_min,VR_max,VR_unc_1sigma,simulated_vr,residual,vr_SE_plus,vr_SE_min,residual_norm,P_fit
NDW-01,1608.0,0.3899999857,,,0.05,0.419650796859302,-0.029650811159302015,,,-0.5930162231860403,0.5531702951384627
NDW-01,1614.0,0.4300000072,,,0.05,0.4207487540013169,0.009251253198683085,,,0.1850250639736617,0.8532093767682101
NDW-01,1622.0,0.49000000950000006,,,0.05,0.42221269685733664,0.06778731264266341,,,1.3557462528532682,0.17517991748629957
NDW-01,1630.0,0.2800000012,,,0.05,0.4236715885991663,-0.1436715873991663,,,-2.873431747983326,0.004060388009800686
NDW-01,1678.0,0.4600000083,,,0.05,0.43135924245783225,0.028640765842167737,,,0.5728153168433547,0.5667697471152549
NDW-01,2649.5,1.0700000525,,,0.05,0.6311240203727363,0.43887603212726367,,,8.777520642545273,0.0
NDW-01,2709.0,1.2999999523,,,0.05,1.4026034740505142,-0.10260352175051413,,,-2.0520704350102825,0.04016281771378227
NDW-01,2803.1999511719,1.4299999475,,,0.05,1.46912606791528,-0.039126120415279964,,,-0.7825224083055993,0.4339076214554338
NDW-01,2815.0,1.3500000238,,,0.05,1.4777853074422478,-0.12778528364224773,,,-2.5557056728449545,0.010597271335736735
NDW-01,2818.0,1.6499999762,,,0.05,1.4800286023471692,0.1699713738528308,,,3.3994274770566157,0.0006752708529182971
NDW-01,2890.0,1.5099999905000001,,,0.05,1.5369481510145677,-0.02694816051456761,,,-0.5389632102913522,0.5899122400054566
NDW-01,2890.0100097656,1.4800000191,,,0.05,1.5369568507141742,-0.0569568316141742,,,-1.139136632283484,0.25464617059271677
NDW-01,2912.0,1.5,,,0.05,1.5560688176704995,-0.05606881767049954,,,-1.1213763534099908,0.2621276972073052
NDW-01,2912.0100097656,1.5599999428,,,0.05,1.556077517370106,0.003922425429893961,,,0.07844850859787922,0.9374712881109928
NDW-01,1608.0,0.3899999857,,,0.05,0.419650796859302,-0.029650811159302015,,,-0.5930162231860403,0.5531702951384627
NDW-01,1614.0,0.4300000072,,,0.05,0.4207487540013169,0.009251253198683085,,,0.1850250639736617,0.8532093767682101
NDW-01,1618.0,0.4600000083,,,0.05,0.4214807254293268,0.03851928287067319,,,0.7703856574134638,0.44107115872252
NDW-01,1622.0,0.49000000950000006,,,0.05,0.42221269685733664,0.06778731264266341,,,1.3557462528532682,0.17517991748629957
NDW-01,1630.0,0.6299999952,,,0.05,0.4236715885991663,0.20632840660083374,,,4.126568132016675,3.682169488938847e-05
NDW-01,2649.5,1.0700000525,,,0.05,0.6311240203727363,0.43887603212726367,,,8.777520642545273,0.0
NDW-01,2709.0,1.2999999523,,,0.05,1.4026034740505142,-0.10260352175051413,,,-2.0520704350102825,0.04016281771378227
NDW-01,2803.1999511719,1.4299999475,,,0.05,1.46912606791528,-0.039126120415279964,,,-0.7825224083055993,0.4339076214554338
NDW-01,2815.0,1.3500000238,,,0.05,1.4777853074422478,-0.12778528364224773,,,-2.5557056728449545,0.010597271335736735
NDW-01,2818.0,1.6499999762,,,0.05,1.4800286023471692,0.1699713738528308,,,3.3994274770566157,0.0006752708529182971
NDW-01,2890.0,1.4800000191,,,0.05,1.5369481510145677,-0.05694813191456771,,,-1.1389626382913542,0.2547187377457969
NDW-01,2890.0,1.5099999905000001,,,0.05,1.5369481510145677,-0.02694816051456761,,,-0.5389632102913522,0.5899122400054566
NDW-01,2912.0,1.5,,,0.05,1.5560688176704995,-0.05606881767049954,,,-1.1213763534099908,0.2621276972073052
NDW-01,2912.0,1.5599999428,,,0.05,1.5560688176704995,0.003931125129500446,,,0.07862250259000891,0.9373328884624277
