well,depth,VR,VR_min,VR_max,VR_unc_1sigma,simulated_vr,residual,vr_SE_plus,vr_SE_min,residual_norm,P_fit
NDW-01,1608.0,0.3899999857,,,0.05,0.4196693367339204,-0.029669351033920377,,,-0.5933870206784075,0.5529221731206655
NDW-01,1614.0,0.4300000072,,,0.05,0.42076709696809095,0.00923291023190903,,,0.1846582046381806,0.8534971301843888
NDW-01,1622.0,0.49000000950000006,,,0.05,0.4222307772803184,0.06776923221968167,,,1.3553846443936335,0.17529503941685953
NDW-01,1630.0,0.2800000012,,,0.05,0.42368975287735083,-0.14368975167735082,,,-2.873795033547016,0.0040557207556179975
NDW-01,1678.0,0.4600000083,,,0.05,0.43138046565542487,0.028619542644575113,,,0.5723908528915023,0.5670572113866137
NDW-01,2649.5,1.0700000525,,,0.05,0.6311565233221663,0.43884352917783365,,,8.776870583556672,0.0
NDW-01,2709.0,1.2999999523,,,0.05,1.4029263107504435,-0.1029263584504434,,,-2.058527169008868,0.039539555972367246
NDW-01,2803.1999511719,1.4299999475,,,0.05,1.469442770529935,-0.03944282302993507,,,-0.7888564605987014,0.43019590558699417
NDW-01,2815.0,1.3500000238,,,0.05,1.4781074000986956,-0.1281073762986955,,,-2.56214752597391,0.010402712016380766
NDW-01,2818.0,1.6499999762,,,0.05,1.4803524272692865,0.16964754893071343,,,3.3929509786142686,0.000691440109568564
NDW-01,2890.0,1.5099999905000001,,,0.05,1.5373206758199844,-0.027320685319984328,,,-0.5464137063996866,0.5847815905221203
NDW-01,2890.0100097656,1.4800000191,,,0.05,1.5373293825959116,-0.057329363495911556,,,-1.1465872699182311,0.25155224020404265
NDW-01,2912.0,1.5,,,0.05,1.556456895193026,-0.05645689519302599,,,-1.1291379038605198,0.25883966383348755
NDW-01,2912.0100097656,1.5599999428,,,0.05,1.556465601968953,0.003534340831047089,,,0.07068681662094178,0.9436470134022708
NDW-01,1608.0,0.3899999857,,,0.05,0.4196693367339204,-0.029669351033920377,,,-0.5933870206784075,0.5529221731206655
NDW-01,1614.0,0.4300000072,,,0.05,0.42076709696809095,0.00923291023190903,,,0.1846582046381806,0.8534971301843888
NDW-01,1618.0,0.4600000083,,,0.05,0.42149893712420466,0.03850107117579532,,,0.7700214235159064,0.4412871845852149
NDW-01,1622.0,0.49000000950000006,,,0.05,0.4222307772803184,0.06776923221968167,,,1.3553846443936335,0.17529503941685953
NDW-01,1630.0,0.6299999952,,,0.05,0.42368975287735083,0.20631024232264922,,,4.126204846452984,3.6879879476092725e-05
NDW-01,2649.5,1.0700000525,,,0.05,0.6311565233221663,0.43884352917783365,,,8.776870583556672,0.0
NDW-01,2709.0,1.2999999523,,,0.05,1.4029263107504435,-0.1029263584504434,,,-2.058527169008868,0.039539555972367246
NDW-01,2803.1999511719,1.4299999475,,,0.05,1.469442770529935,-0.03944282302993507,,,-0.7888564605987014,0.43019590558699417
NDW-01,2815.0,1.3500000238,,,0.05,1.4781074000986956,-0.1281073762986955,,,-2.56214752597391,0.010402712016380766
NDW-01,2818.0,1.6499999762,,,0.05,1.4803524272692865,0.16964754893071343,,,3.3929509786142686,0.000691440109568564
NDW-01,2890.0,1.4800000191,,,0.05,1.5373206758199844,-0.05732065671998443,,,-1.1464131343996886,0.2516242506455366
NDW-01,2890.0,1.5099999905000001,,,0.05,1.5373206758199844,-0.027320685319984328,,,-0.5464137063996866,0.5847815905221203
NDW-01,2912.0,1.5,,,0.05,1.556456895193026,-0.05645689519302599,,,-1.1291379038605198,0.25883966383348755
NDW-01,2912.0,1.5599999428,,,0.05,1.556456895193026,0.0035430476069739925,,,0.07086095213947985,0.9435084208966922
