,well,sample_id,sample_type,data_source,x_UTMED50,y_UTMED50,depth_top_AH,depth_bottom_AH,depth_top_TVD,depth_bottom_TVD,stratigraphy_code,stratigraphy,lithology,vitrinite_parameter,value_main,N_main,value_pop2,N_pop2,value_pop3,N_pop3,value_pop4,N_pop4,value_mean,value_std,N_total
27,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1011.0900268554688,1011.0900268554688,1011.0900268554688,1011.0900268554688,,no_info,,Rr,1.7100000381469727,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
28,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1052.77001953125,1052.77001953125,1052.77001953125,1052.77001953125,,no_info,,Rr,1.7100000381469727,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
29,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1069.97998046875,1069.97998046875,1069.97998046875,1069.97998046875,,no_info,,Rr,1.7000000476837158,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
30,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1107.050048828125,1107.050048828125,1107.050048828125,1107.050048828125,,no_info,,Rr,1.7300000190734863,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
31,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1127.6300048828125,1127.6300048828125,1127.6300048828125,1127.6300048828125,,no_info,,Rr,1.7699999809265137,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
32,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1134.5899658203125,1134.5899658203125,1134.5899658203125,1134.5899658203125,,no_info,,Rr,1.75,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
33,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1143.4300537109375,1143.4300537109375,1143.4300537109375,1143.4300537109375,,no_info,,Rr,1.75,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
34,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1161.300048828125,1161.300048828125,1161.300048828125,1161.300048828125,,no_info,,Rr,1.7899999618530273,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
35,BFD-14,unknown,unknown,TNO-database,716844.0,5689032.0,677.0,677.0,677.0,677.0,,no_info,,Rr,1.8600000143051147,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
36,BFD-14,unknown,unknown,TNO-database,716844.0,5689032.0,684.0,684.0,684.0,684.0,,no_info,,Rr,1.8799999952316284,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
37,BFD-14,unknown,unknown,TNO-database,716844.0,5689032.0,1105.0,1105.0,1105.0,1105.0,,no_info,,Rr,2.440000057220459,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
38,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,810.0,810.0,793.0,793.0,,middle_NS,,R0,0.28999999165534973,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
39,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,870.0,870.0,853.0,853.0,,middle_NS,,R0,0.31999999284744263,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
40,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,930.0,930.0,913.0,913.0,,middle_NS,,R0,0.31999999284744263,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
41,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,990.0,990.0,973.0,973.0,,lower_NS,,R0,0.34000000357627869,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
42,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1050.0,1050.0,1033.0,1033.0,,lower_NS,,R0,0.34000000357627869,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
43,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1110.0,1110.0,1093.0,1093.0,,lower_NS,,R0,0.38999998569488525,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
44,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1160.0,1160.0,1143.0,1143.0,,chalk,,R0,0.44999998807907104,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
45,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1210.0,1210.0,1193.0,1193.0,,Brabant,,R0,0.37000000476837158,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
46,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1260.0,1260.0,1243.0,1243.0,,Brabant,,R0,0.34999999403953552,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
47,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1310.0,1310.0,1293.0,1293.0,,Brabant,,R0,0.34000000357627869,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
48,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1360.0,1360.0,1343.0,1343.0,,Brabant,,R0,0.40000000596046448,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
49,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1410.0,1410.0,1393.0,1393.0,,Brabant,,R0,0.30000001192092896,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
50,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1460.0,1460.0,1443.0,1443.0,,Werkendam,,R0,0.40999999642372131,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
51,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1510.0,1510.0,1493.0,1493.0,,Werkendam,,R0,0.40000000596046448,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
52,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1560.0,1560.0,1543.0,1543.0,,Werkendam,,R0,0.43999999761581421,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
53,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1610.0,1610.0,1592.0,1592.0,,Werkendam,,R0,0.43000000715255737,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
54,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1660.0,1660.0,1642.0,1642.0,,Werkendam,,R0,0.43999999761581421,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
55,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1710.0,1710.0,1692.0,1692.0,,Werkendam,,R0,0.43000000715255737,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
56,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1744.5,1744.5,1726.0,1726.0,,Werkendam,,R0,0.49000000953674316,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
57,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1748.0,1748.0,1729.0,1729.0,,Werkendam,,R0,0.46000000834465027,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
58,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1760.0,1760.0,1741.0,1741.0,,Werkendam,,R0,0.44999998807907104,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
59,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1810.0,1810.0,1791.0,1791.0,,Werkendam,,R0,0.55000001192092896,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
60,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1860.0,1860.0,1841.0,1841.0,,Posidonia,,R0,0.43000000715255737,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
61,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1910.0,1910.0,1891.0,1891.0,,Aalburg,,R0,0.4699999988079071,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
62,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,1960.0,1960.0,1940.0,1940.0,,Aalburg,,R0,0.52999997138977051,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
63,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,2010.0,2010.0,1990.0,1990.0,,Aalburg,,R0,0.74000000953674316,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
64,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,2060.0,2060.0,2040.0,2040.0,,Aalburg,,R0,0.74000000953674316,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
65,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,2110.0,2110.0,2089.0,2089.0,,Aalburg,,R0,0.54000002145767212,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
66,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,2160.0,2160.0,2139.0,2139.0,,Sleen,,R0,0.4699999988079071,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
67,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,2210.0,2210.0,2188.0,2188.0,,Muschelkalk,,R0,0.5899999737739563,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
68,BKZ-01,unknown,unknown,Clyde_IGI_report,652386.0,5710248.0,2250.0,2250.0,2228.0,2228.0,,Muschelkalk,,R0,0.54000002145767212,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
69,GVK-01,unknown,unknown,TNO-database,695370.0,5645498.0,370.0,372.0,370.0,372.0,,no_info,,Rr,2.3900001049041748,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
70,GVK-01,unknown,unknown,TNO-database,695370.0,5645498.0,434.29998779296875,434.35000610351562,434.29998779296875,434.35000610351562,,no_info,,Rr,2.6099998950958252,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
71,GVK-01,unknown,unknown,TNO-database,695370.0,5645498.0,434.29998779296875,434.35000610351562,434.29998779296875,434.35000610351562,,no_info,,Rr,2.6400001049041748,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
72,GVK-01,unknown,unknown,TNO-database,695370.0,5645498.0,441.76998901367188,441.77999877929688,441.76998901367188,441.77999877929688,,no_info,,Rr,2.6600000858306885,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
73,GVK-01,unknown,unknown,TNO-database,695370.0,5645498.0,566.77001953125,566.8499755859375,566.77001953125,566.8499755859375,,no_info,,Rr,2.7699999809265137,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
74,GVK-01,unknown,unknown,TNO-database,695370.0,5645498.0,669.66998291015625,669.8900146484375,669.66998291015625,669.8900146484375,,no_info,,Rr,2.8599998950958252,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
75,GVK-01,unknown,unknown,TNO-database,695370.0,5645498.0,669.8699951171875,669.8900146484375,669.8699951171875,669.8900146484375,,no_info,,Rr,2.9200000762939453,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
76,GVK-01,unknown,unknown,TNO-database,695370.0,5645498.0,670.91998291015625,671.030029296875,670.91998291015625,671.030029296875,,no_info,,Rr,2.9100000858306885,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
77,GVK-01,unknown,unknown,TNO-database,695370.0,5645498.0,671.22998046875,671.46002197265625,671.22998046875,671.46002197265625,,no_info,,Rr,2.8599998950958252,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
