well,sample,depth,n_grains,AFT_age,AFT_age_stderr_plus,AFT_age_stderr_min,kinetic_parameter,kinetic_param_min,kinetic_param_max
BKZ-01,BKZ01-1,1055,,182.8521118164,-153.1773834229,880.8995361328,,,
BKZ-01,BKZ01-2,1374,,249.6246948242,-149.7737426758,363.9879150391,,,
BKZ-01,BKZ01-3,2292.5,,152.2448425293,-72.5409240723,137.0976715088,,,
BKZ-01,BKZ01-4,2503,,66.4777069092,-18.2862606049,25.1758327484,,,
HSW-01,HSW01-1,1182,,289.8689880371,-99.975479126,150.8412628174,,,
NDW-01,NDW01-1,2649.5,,132.920715332,-33.7518005371,45.0815391541,,,
NDW-01,NDW01-2,2813,,23.6475067139,-13.0423021317,29.0163784027,,,
